A&A	Astronomy and Astrophysics
JGRG	Journal of Geophysical Research (Biogeosciences)
JGRS	Journal of Geophysical Research Supplement
JGS	Journal of Geographical Systems
JGSJ	Journal of the Geodetic Society of Japan
JGSoc	Journal of the Geological Society
JGZG	Journal of Geophysics Zeitschrift Geophysik
JGeEd	Journal of Geoscience Education
JGeo	Journal of Geodynamics
JGeoE	Journal of Geological Education
JGeoS	Journal of Geodetic Science
JGeod	Journal of Geodesy
JGeop	Journal of Geophysics
JGlac	Journal of Glaciology
JGrPh	Journal of Gravitational Physics
JGuC	Journal of Guidance Control
JHA	Journal for the History of Astronomy
JHAS	Journal for the History of Astronomy Supplement
JHATD	Johns Hopkins APL Technical Digest
JHEAp	Journal of High Energy Astrophysics
JHENP	Journal of High Energy and Nuclear Physics
JHEP	Journal of High Energy Physics
JHSN	Journal of High Speed Networks
JHTS	Journal of High Temperature Society
JHeu	Journal of Heuristics
JHyDy	Journal of Hydrodynamics
JHyMe	Journal of Hydrometeorology
JHyRS	Journal of Hydrology: Regional Studies
JHyd	Journal of Hydrology
JHydX	Journal of Hydrology: X
JHyn	Journal of Hydronautics
JIECE	Institute of Electronics Communication Engineers of Japan Transactions Section E English
JIEEJ	Journal of The Institute of Electrical Engineers of Japan
JIEI	Journal of Industrial Engineering International
JIEIA	Journal of The Institution of Engineers (India): Series A
JIEIB	Journal of The Institution of Engineers (India): Series B
JIEIC	Journal of The Institution of Engineers (India): Series C
JIEID	Journal of The Institution of Engineers (India): Series D
JIEIE	Journal of The Institution of Engineers (India): Series E
JIETE	Journal of the Institution of Electronics and Telecommunication Engineers
JIEq	Journal of Integral Equations
JIEx	Journal of Ion Exchange
JIMIA	Journal of the Institute of Mathematics and Its Applications
JIMMT	Materials Transactions Jim
JIMO	WGN, Journal of the International Meteor Organization
JIMSS	Journal of Intelligent Material Systems and Structures
JIMW	Journal of Infrared and Millimeter Waves
JIPM	Journal of Information Processing and Management
JIPNT	Journal of the Institute of Positioning, Navigation and Timing of Japan
JIRS	Journal of Intelligent and Robotic Systems
JIST	Journal of Imaging Science and Technology
JInfo	Journal of Informetrics
JInst	Journal of Instrumentation
JIntS	Journal of Integer Sequences
JJAEE	Journal of Japan Association for Earthquake Engineering
JJAHS	Journal of Japanese Association of Hydrological Sciences
JJAPL	Japanese Journal of Applied Physics Letters B
JJAPR	Japanese Journal of Applied Physics Regular Papers Short Notes and Review Papers
JJAPS	Japanese Journal of Applied Physics Supplement
JJSEE	Journal of Japanese Society for Engineering Education
JJSMS	Journal of the Japan Society for Marine Surveys and Technology
JJTST	Journal of Thermal Science and Technology
JKAS	Journal of Korean Astronomical Society
JKASS	Journal of Korean Astronomical Society Supplement
JKPS	Journal of Korean Physical Society
JKSAS	Journal of the Korean Society for Aeronautical & Space Sciences
JKTR	Journal of Knot Theory and its Ramifications
JLCM	Journal of Less Common Metals
JLCMe	Journal of Laboratory and Clinical Medicine
JLMS	Journal of the London Mathematical Society
JLTP	Journal of Low Temperature Physics
JLVEn	Journal of Light & Visual Environment
JLasA	Journal of Laser Applications
JLum	Journal of Luminescence
JLwT	Journal of Lightwave Technology
JMA	Journal of Multivariate Analysis
JMAA	Journal of Mathematical Analysis and Applications
JMBM	Journal of the Mechanical Behavior of Materials
JMBio	Journal of Molecular Biology
JMCS	Journal of Mathematical and Computational Science
JMCh	Journal of Materials Chemistry
JMEM	Journal of Molecular and Engineering Materials
JMEP	Journal of Materials Engineering and Performance
JMET	Journal of Medical Engineering & Technology
JMFM	Journal of Mathematical Fluid Mechanics
JMIV	Journal of Mathematical Imaging and Vision
JMM&M	Journal of Micro/Nanolithography, MEMS, and MOEMS
JMMM	Journal of Magnetism and Magnetic Materials
JMMPS	Japanese Magazine of Mineralogical and Petrological Sciences
JMNMM	Journal of Micro/Nanopatterning, Materials, and Metrology
JMOA	IEE Journal of Microwaves Optics and Acoustics
JMOp	Journal of Modern Optics
JMP	Journal of Mathematical Physics
JMPEE	Journal of Microwave Power and Electromagnetic Energy
JMPMS	Journal of Materials Processing and Manufacturing Science
JMPS	Journal of Mathematical and Physical Sciences
JMPSo	Journal of Mechanics Physics of Solids
JMPeS	Journal of Mineralogical and Petrological Sciences
JMPh	Journal of Modern Physics
JMPow	Journal of Microwave Power
JMPsy	Journal of Mathematical Psychology
JMR	Journal of Marine Research
JMRB	Journal of Magnetic Resonance
JMS	Journal of Marine Systems
JMSA	Journal of Marine Science and Application
JMSB	Journal of Macromolecular Science, Part B
JMSC	Journal of Macromolecular Science, Part C: Reviews in Macromolecular Chemistry and Physics
JMSJ	Journal of the Mineralogical Society of Japan
JMSL	Journal of Materials Science Letters
JMSME	Journal of Materials Science and Materials Electronics
JMSMM	Journal of Materials Science: Materials in Medicine
JMSP	Journal of Materials Synthesis and Processing
JMSTL	Journal of Mechanical Systems for Transportation and Logistics
JMSc	Journal of Mathematical Sciences
JMSo	Journal of Mathematical Sociology
JMSp	Journal of Mass Spectrometry
JMTAS	Journal de Mecanique Theorique et Appliquee Supplement
JMTPR	Journal of Modern Trends in Physics Research
JMaCh	Journal of Mathematical Chemistry
JMaMe	Journal of Mathematics and Mechanics
JMaPh	Journal of Mathematics and Physics
JMaSc	Journal of Mathematical Sciences
JMagR	Journal of Magnetic Resonance
JMarA	Journal of Maritime Archaeology
JMatR	Journal of Materials Research
JMatS	Journal of Materials Science
JMeOp	Jemna Mechanika Optika
JMeSJ	Journal of the Meteorological Society of Japan
JMec	Journal de Mecanique
JMecA	Journal de Mecanique Appliquee
JMecE	Journal of Mechanical and Engineering Science
JMecT	Journal de Mecanique Theorique et Appliquee
JMemS	Journal of Microelectromechanical Systems
JMet	Journal of Metals
JMetG	Journal of Metamorphic Geology
JMetR	Journal of Meteorological Research
JMiMi	Journal of Micromechanics and Microengineering
JMic	Journal of Microscopy
JMicP	Journal of Micropaleontology
JMoEl	Journal of Molecular Electronics
JMoSp	Journal of Molecular Spectroscopy
JMoSt	Journal of Molecular Structure
JMolE	Journal of Molecular Evolution
JMuMo	Journal of Multiscale Modelling
JNCS	Journal of Non Crystalline Solids
JNCSX	Journal of Non Crystalline Solids: X
JNE	Journal of Nondestructive Evaluation
JNET	Journal of Non Equilibrium Thermodynamics
JNEng	Journal of Neural Engineering
JNGG	Journal of Natural Gas Geoscience
JNGSE	Journal of Natural Gas Science and Engineering
JNIRE	Journal NIRE
JNIS	Journal of Near Infrared Spectroscopy
JNLM	Journal of Non Linear Mechanics
JNMP	Journal of Nonlinear Mathematical Physics
JNO	Journal of Neuro-Oncology
JNOPM	Journal of Nonlinear Optical Physics and Materials
JNPMS	Journal of Nuclear Physics Material Sciences Radiation and Applications
JNR	Journal of Nanoparticle Research
JNS	Journal of NonLinear Science
JNST	Journal of Nuclear Science and Technology
JNT	Journal of Number Theory
JNUNS	Journal of Nanjing University (Natural Sciences)
JNWPU	Journal of Northwestern Polytechnical University
JNanU	Journal Nanjing Univ
JNano	Journal of Nanophotonics
JNatC	Journal for Nature Conservation
JNav	Journal of Navigation
JNeur	Journal of Neurochemistry
JNuE	Journal of Nuclear Energy
JNuM	Journal of Nuclear Materials
JO	Journal des Observateurs
JOA	Journal for Occultation Astronomy
JOC	Journal of Optical Communications
JOCN	Journal of Optical Communications and Networking
JOL	Journal of Oceanology and Limnology
JOM	JOM - Journal of the Minerals, Metals and Materials Society
JOMS	Journal of Oral and Maxillofacial Surgery
JON	Journal of Optical Networking
JOR	Journal of Oral Rehabilitation
JORS	Journal of Open Research Software
JOSA	Journal of the Optical Society of America (1917-1983)
JOSAA	Journal of the Optical Society of America A
JOSAB	Journal of the Optical Society of America B Optical Physics
JOSS	The Journal of Open Source Software
JOTA	Journal of Optimization Theory Applications
JOUC	Journal of Ocean University of China
JOpt	Journal of Optics
JOptA	Journal of Optics A: Pure and Applied Optics
JOptB	Journal of Optics B: Quantum and Semiclassical Optics
JOptM	Journal of Optical Microsystems
JOptT	Journal of Optical Technology
JPAS	Journal of Practical Applications in Space
JPApS	Journal of Pure Applied Sciences
JPCA	Journal of Physical Chemistry A
JPCB	Journal of Physical Chemistry B
JPCM	Journal of Physics Condensed Matter
JPCRD	Journal of Physical and Chemical Reference Data
JPCS	Journal of Physics and Chemistry of Solids
JPCom	Journal of Physics: Complexity
JPDC	Journal of Parallel and Distributed Computing
JPE	Journal of Physics of the Earth
JPES	Journal of Power and Energy Systems
JPEle	Journal of Power Electronics
JPEn	Journal of Physics: Energy
JPFR	Journal of Plasma and Fusion Research
JPLSP	Jet Propulsion Lab. Space Programs Summary
JPMat	Journal of Porous Materials
JPO	Journal of Physical Oceanography
JPP	Journal of Propulsion and Power
JPRG	Journal of Photogrammetry, Remote Sensing and Geoinformation Science
JPRS	ISPRS Journal of Photogrammetry and Remote Sensing
JPS	Journal of Power Sources
JPSCP	JPS Conference Proceedings
JPSE	Journal of Petroleum Science and Engineering
JPSJ	Journal of the Physical Society of Japan
JPSJS	Journal of the Physical Society of Japan Supplement
JPT	Journal of Propulsion Technology
JPal	Journal of Paleontology
JPalA	Journal of Paleolithic Archaeology
JPalg	Journal of Palaeogeography
JPall	Journal of Palaeolimnology
JPet	Journal of Petrology
JPetG	Journal of Petroleum Geology
JPhA	Journal of Physics A Mathematical General
JPhB	Journal of Physics B Atomic Molecular Physics
JPhC	Journal of Physics C Solid State Physics
JPhCB	Journal of Physical Chemistry B
JPhCS	Journal of Physics Conference Series
JPhCh	Journal of Physical Chemistry
JPhCo	Journal of Physics Communications
JPhD	Journal of Physics D Applied Physics
JPhE	Journal of Physics E Scientific Instruments
JPhEn	Journal of Photonics for Energy
JPhF	Journal of Physics F Metal Physics
JPhG	Journal of Physics G Nuclear Physics
JPhGS	Journal of Physics G Nuclear Physics Supplement
JPhM	Journal of Physics: Materials
JPhP	Journal of Physics: Photonics
JPhSt	Journal of Physical Studies
JPhSu	Supplement au Journal de Physique
JPhTA	Journal de Physique Theorique et Apliquee
JPhsg	Journal of Physiology
JPhy1	Journal de Physique I
JPhy2	Journal de Physique II
JPhy3	Journal de Physique III
JPhy4	Journal de Physique IV
JPhyC	Journal de Physique Colloque
JPhys	Journal de Physique
JPlPh	Journal of Plasma Physics
JPoSA	Journal of Polymer Science A Polymer Chemistry
JPoSB	Journal of Polymer Science B Polymer Physics
JPoSL	Journal of Polymer Science: Polymer Letters Edition
JPoSc	Journal of Polymer Science
JPrCh	Journal of Protein Chemistry
JQS	Journal of Quaternary Science
JQSRT	Journal of Quantitative Spectroscopy and Radiative Transfer
JQT	Journal of Quality Technology
JRAC	Journal of Radioanalytical Chemistry
JRAEO	Journal and Review of Astronomy Education and Outreach
JRAM	Journal fur die reine und angewandte Mathematik
JRASA	Journal of the Royal Aeronautical Society of London
JRASC	Journal of the Royal Astronomical Society of Canada
JRCSE	Journal of the Royal College of Surgeons of Edinburgh
JRE	Jahrbuch der Radioaktivit&auml;t und Elektronik
JRIST	Journal of Research Institute of Science and Technology, College of Science and Technology, Nihon University
JRLR	Journal of Russian Laser Research
JRMGE	Journal of Rock Mechanics and Geotechnical Engineering
JRNBA	Journal of Research of the National Bureau of Standards A Physica and Chemsitry
JRNBB	Journal of Research of the National Bureau of Standards B Mathematical Sciences
JRNBS	Journal of Research of the National Bureau of Standards
JRNC	Journal of Radioanalytical and Nuclear Chemistry
JRP	Journal of Radiological Protection
JRPC	Journal of Reinforced Plastics and Composites
JRPhy	Journal of Research in Physics
JRSSD	Journal of the Royal Statistical Society: Series D (The Statistician)
JRST	Journal of Rocket-Space Technology
JRScT	Journal of Research in Science Teaching
JRSp	Journal of Raman Spectroscopy
JRadR	Journal of Radiation Research
JReAt	Journal de Recherches Atmospheriques
JRemS	Journal of Remote Sensing
JRes	Journal of Research
JResB	Journal of Research Section B Mathematical Sciences B
JRheo	Journal of Rheology
JRoS	Journal of Robotic Systems
JSAED	Journal of Strain Analysis for Engineering Design
JSAES	Journal of South American Earth Sciences
JSAPJ	Japan Society of Air Pollution Journal
JSAR	Journal of Space Astronomy Research
JSARA	Journal of the Southeastern Association for Research in Astronomy
JSASS	Japan Society of Aeronautical Space Sciences
JSAST	Transactions of the Japan Society of Aeronautical and Space Sciences, Aerospace Technology Japan
JSCAI	Journal of Japan Society of Civil Engineers, Ser. D1 (Architecture of Infrastructure and Environment)
JSCAM	Journal of Japan Society of Civil Engineers, Ser. A2 (Applied Mechanics (AM))
JSCCE	Journal of Japan Society of Civil Engineers, Ser. F3 (Civil Engineering Informatics)
JSCCM	Journal of Japan Society of Civil Engineers, Ser. F4 (Construction and Management)
JSCER	Journal of Japan Society of Civil Engineers, Ser. G (Environmental Research)
JSCGE	Journal of Japan Society of Civil Engineers, Ser. C (Geosphere Engineering)
JSCHE	Journal of Japan Society of Civil Engineers, Ser. B1 (Hydraulic Engineering)
JSCHS	Journal of Japan Society of Civil Engineers, Ser. D2 (Historical Studies in Civil Engineering)
JSCIP	Journal of Japan Society of Civil Engineers, Ser. D3 (Infrastructure Planning and Management)
JSCMC	Journal of Japan Society of Civil Engineers, Ser. E2 (Materials and Concrete Structures)
JSCMJ	Japan Society of Composite Materials Journal
JSCPE	Journal of Japan Society of Civil Engineers, Ser. E1 (Pavement Engineering)
JSCPP	Journal of Japan Society of Civil Engineers, Ser. F5 (Professional Practices in Civil Engineering)
JSCS	Journal of Statistical Computation and Simulation
JSCSE	Journal of Japan Society of Civil Engineers, Ser. A1 (Structural Engineering &amp; Earthquake Engineering (SE/EE))
JSCSP	Journal of Japan Society of Civil Engineers, Ser. F6 (Safety Problem)
JSCTE	Journal of Japan Society of Civil Engineers, Ser. F1 (Tunnel Engineering)
JSCUS	Journal of Japan Society of Civil Engineers, Ser. F2 (Underground Space Research)
JSCh	Journal of Solution Chemistry
JSCom	Journal of Scientific Computing
JSD	Journal of the Structural Division, American Society of Civil Engineers
JSDD	Journal of System Design and Dynamics
JSER	Journal for STEM Education Research
JSEdT	Journal of Science Education and Technology
JSG	Journal of Structural Geology
JSGST	Journal of Sol-Gel Science and Technology
JSGeo	Journal of Series Geophysics
JSLEJ	Japan Society of Lubrication Engineers Journal
JSLR	Journal of Soviet Laser Research
JSM	Journal of Structural Mechanics
JSMAJ	JASMA Japan Society of Microgravity Application Journal
JSMEA	JSME International Journal Series A
JSMEB	JSME International Journal Series B
JSMEC	JSME International Journal Series C
JSMEJ	JSME International Journal
JSMET	JSME Transactions
JSMME	Journal of Solid Mechanics and Materials Engineering
JSMSJ	Japan Society of Materials Science Journal
JSMTE	Journal of Statistical Mechanics: Theory and Experiment
JSP	Journal of Statistical Physics
JSPS	Japan Society of Promotion Science
JSPST	Journal of The Society of Photographic Science and Technology of Japan
JSR	Journal of Sea Research
JSRP	Journal of the Society for Radiological Protection
JSSCh	Journal of Solid State Chemistry France
JSSE	The Journal of Space Safety Engineering
JSSED	IEE Journal of Solid-State Electron Devices
JSSS	Journal of Sensors and Sensor Systems
JSSST	Journal of Solid State Science and Technology
JSSat	Journal of Small Satellites
JSTAp	Journal of Strain Analysis and Engineering Design
JSTEd	Journal of Science Teacher Education
JSV	Journal of Sound Vibration
JSWSC	Journal of Space Weather and Space Climate
JScI	Journal of Scientific Instruments
JSedE	Journal of Sedimentary Environments
JSedR	Journal of Sedimentary Research
JSeis	Journal of Seismology
JSemi	Journal of Semiconductors
JShR	Journal of Ship Research
JSpEn	Journal of Space Engineering
JSpRo	Journal of Spacecraft and Rockets
JSpT	Journal of Spacecraft Technology
JStA	Journal of Strain Analysis and Engineering Design
JSup	Journal of Superconductivity
JSymC	Journal of Symbolic Computation
JTAC	Journal of Thermal Analysis and Calorimetry
JTAM	Journal of Theoretical and Applied Mechanics
JTAP	Journal of Theoretical and Applied Physics
JTBio	Journal of Theoretical Biology
JTCN	Journal of Computatational and Theoretical Nanoscience
JTF	Journal of Time and Frequency
JTHT	Journal of Thermophysics and Heat Transfer
JTP	Journal for Technology of Plasticity
JTSP	Journal of Technological and Space Plasmas
JTST	Journal of Thermal Spray Technology
JTeEv	Journal of Testing Evaluation
JTePh	Journal of Technical Physics
JTech	Journal of Technology
JTerr	Journal of Terramechanics
JTh	Journal of Thermodynamics
JThBi	Journal of Theoretical Biology
JThCM	Journal of Thermoplastic Composite Materials
JThSc	Journal of Thermal Science
JThSt	Journal of Thermal Stresses
JTurb	Journal of Turbulence
JUOGR	Journal of Unconventional Oil and Gas Resources
JURP	Journal of Undergraduate Reports in Physics
JVC	Journal of Vibration and Control
JVCIR	Journal of Visual Communication and Image Representation
JVE	Journal of Vibration Engineering
JVGR	Journal of Volcanology and Geothermal Research
JVSJ	Journal of the Vacuum Society of Japan
JVST	Journal of Vacuum Science Technology
JVSTA	Journal of Vacuum Science Technology A: Vacuum Surfaces and Films
JVSTB	Journal of Vacuum Science Technology B: Microelectronics and Nanometer Structures
JWMSE	Journal of Women and Minorities in Science and Engineering
JWUDF	Jahns W&ouml;chentliche Unterhaltungen F&uuml;r Dilettanten und Freunde der Astronomie, Georgraphie und Witterungskunde
JXST	Journal of X-Ray Science and Technology
JaIMJ	Japan Institute of Metals Journal
JaJAG	Japanese Journal of Astronomy and Geophysics
JaJAP	Japanese Journal of Applied Physics
JenRu	Jenaer Rundschau
JenRv	Jena Review
JoBaA	Jodrell Bank Annals
JoDI	Journal of Digital Information
KEIJ	Kansei Engineering International Journal
KFNT	Kinematika i Fizika Nebesnykh Tel
KFNTS	Kinematika i Fizika Nebesnykh Tel Supplement
KIMMJ	Korean Institute of Metals and Materials Journal
KIMS	Knowledge: An Illustrated Magazine of Science
KIPME	Kiev Institut Problem Modelirovaniia Energetike AN USSR
KIzIM	Kiev Izdanie Instituta Matematiki AN USSR
KIzKU	Kazan Izdatel Kazanskogo Universiteta
KIzS	Kishinev Izdatel Shtiintsa
KIzVS	Kiev Izdatel Vishcha Shkola
KKR	Kagaku Kogaku Ronbunshu
KNAB	Koninklijke Nederlandse Akademie van Wetenschappen Proceedings Series B Physical Sciences
KNT	Kosmicheskaia Nauka i Tekhnika
KPCB	Kinematics and Physics of Celestial Bodies
KPCBS	Kinematics and Physics of Celestial Bodies, Supplement
KPNON	Kitt Peak National Observatory Newsletter
KSVH	Kungl. Svenska Vetenskapsakademiens Handlingar
KT	K-Theory
KTTM	Khimiia i Tekhnologiia Topliv i Masel
KUFEM	Kyushu University Faculty of Engineering Memoirs
KUFSM	Kyushu University Faculty of Science Memoirs
KVeBB	Kleine Veroeffentlichungen der Universitaetssternwarte zu Berlin Babelsberg
KVnT	Kibernetika i Vychislitelnaia Tekhnika
KazOB	Astronomicheskoj Observatorii Kazan Byulleten
KernR	Kernforschungsanlage Rept Res Results Solid State Nucl Phys
Kernt	Kerntechnik
KexT	Kexue Tongbao
KhPl	Khimiia Plazmy
Khago	Khagol
KharI	Kharkov Izdanie IRE AN USSR
KiCat	Kinetics and Catalysis
KiIND	Kiev Izdatel Naukova Dumka
KiInF	Kiev Institut Fiziki AN USSR
KiInM	Kiev Institut Matematiki AN USSR
KiIzT	Kiev Izdatel Tekhnika
KlBer	Kleinheubacher Berichte
KodOB	Kodaikanal Observatory Bulletins
KodRe	Kodaikanal Observatory Reprints
KomMe	Komety i Meteory
KomTs	Kometnyj Tsirkulyar
KosIU	Kosmicheskie Issledovaniia Ukraine
KosIs	Kosmicheskie Issledovaniia
KosLu	Kosmicheskie Luchi
KosNT	Kosmichna Nauka i Tekhnologiya
KosRo	Kosmicke Rozhledy
Kozmo	Kozmos
KvanE	Kvantovaia Elektronika Moscow
KyITB	Kyushu Institute Technology Bulletin
KyUAM	Kyushu University Research Institute Applied Mechanics Reports
KyUSR	Kyushu University Research Institute Industrial Science Reports
KyUTR	Kyushu University Technology Reports
Kyb	Kybernetes
KyoMe	Kyoto University Faculty Engineering Memoirs
KzSib	Akademiia Nauk SSSR Sibirskoi Otdelenie Izvestiia Seriia Tekhnicheskikh Nauk
LAES	Letters in Applied and Engineering Sciences
LAstr	L'Astronomie
LBLRR	LBL Research Review
LCEC	Luxembourg Commission European Communities
LChip	Lab on a Chip
LDA	Lifetime Data Analysis
LERec	L'Echo des Recherches
LFR	Lietuvos Fizikos Rinkinys
LFTR	LEST Foundation, Technical Report
LGUPM	Leningradskii Gosudarstvennyi Universitet Problemy Matematicheskoi Fiziki
LHBl	La Houille Blanche
LHEP	Letters in High Energy Physics
LHMT	Letters Heat Mass Transfer
LIACo	Liege International Astrophysical Colloquia
LIVS	Lvov Izdatel Vishcha Shkola
LIzNe	Leningrad Izdatel Nedra
LLabJ	Lincoln Laboratory Journal
LMMP	Lasers in Manufacturing and Materials Processing
LMaPh	Letters in Mathematical Physics
LNCS	Lecture Notes in Computer Science
LNEA	Lecture Notes and Essays in Astrophysics
LNES	Lecture Notes in Earth Sciences, Berlin Springer Verlag
LNEn	Lecture Notes in Engineering, Berlin Springer Verlag
LNM	Lecture Notes in Mathematics, Berlin Springer Verlag
LNP	Lecture Notes in Physics, Berlin Springer Verlag
LNSP	Lecture Notes and Supplements in Physics
LOEle	L'Onde Electrique
LPB	Laser and Particle Beams
LPI	Lunar and Planetary Science Conference
LPIBu	LPI Bulletin
LPICo	LPI Contributions
LPIS	Lunar and Planetary Institute Science Conference Abstracts Supplement
LPITR	Lunar and Planetary Institute Technical Report
LPRv	Laser & Photonics Reviews
LPSC	Lunar and Planetary Science Conference Proceedings
LPlaC	Observatorio Astronomico de La Plata Circular
LPlaS	Observatorio Astronomico de La Plata Separata Astronomica
LR	Luft und Raumfahrt
LRCA	Living Reviews in Computational Astrophysics
LRR	Living Reviews in Relativity
LRSP	Living Reviews in Solar Physics
LS	Hamburger Sternw. Warner & Swasey Obs.
LSA	Light: Science & Applications
LSIBu	Lunar and Science Information Bulletin
LSSR	Life Sciences and Space Research
LTP	Low Temperature Physics
LTerm	La Termotecnica
LaEO	Laser Elektro Optik
LaFoc	Laser Focus
LaJ	Lapidary Journal
LaPhL	Laser Physics Letters
LaPhy	Laser Physics
LanB	Landolt B&ouml;rnstein
Langm	Langmuir
Lapa	Majalah LAPAN
LasJ	Laser Journal
LatJP	Latvian Journal of Physics and Technical Sciences
LatME	Latviiskii Matematicheskii Ezhegodnik
LawOB	Laws Observatory Bulletin, University of Missouri
LeBAN	Leningrad Biblioteka Akademii Nauk SSSR
LeEne	Leningrad Energoizdat
LeGid	Leningrad Gidrometeoizdat
LeIzE	Leningrad Izdatel Energiia
LeIzG	Leningrad Izdatel Gidrometeoizdat
LeIzK	Leningrad Izdatel Khimiia
LeIzM	Leningrad Izdatel Mashinostroenie
LeIzN	Leningrad Izdatel Nauka
LeIzS	Leningrad Izdatel Sudostroenie
LeIzU	Leningrad Izdatel Leningradskogo Universiteta
LeLen	Leningrad Lenizdat
LePub	Learned Publishing
LeRad	Le Radium
Leo	Leonardo
LiCr	Liquid Crystals
LicOB	Lick Observatory Bulletin
Life	Life
LimOc	Limnology and Oceanography
LitJP	Lithuanian Journal of Physics and Technical Sciences
Litho	Lithos
LockH	Lockheed Horizons
LowOB	Lowell Observatory Bulletin
Lsphe	Lithoshere
LuRaQ	Luft und Raumfahrt Quarter
LubEn	Lubrication Engineering
LunOC	Lund Observatory Circular
LvoTs	L'vovskij Ordena Lenina Gosudarstvennyj Universitet Tsirkulyar
M&P	Moon and Planets
M&PS	Meteoritics and Planetary Science
M&PSA	Meteoritics and Planetary Science Supplement
M3AS	Mathematical Models and Methods in Applied Sciences
MAA	Mediterranean Archaeology and Archaeometry
MAAAS	Memoirs of the American Academy of Arts and Sciences
MAGeo	Mathematical Approaces to Geophysics Series
MAMMP	Mechanics of Advanced Materials and Modern Processes
MAP	Meteorology and Atmospheric Physics
MAPSE	Mission Analysis Program Solar Electric Propulsion MAPSEP
MAUTx	University of Texas Monographs in Astronomy
MAWMN	Mainz Akademie Wissenschaften Mathematisch Naturwissenschaftliche Klasse
MApAn	Methods and Applications of Analysis
MApFl	Methods and Applications in Fluorescence
MAtom	Moscow Atomizdat
MBB	Molecular Biology and Biophysics
MCAMS	Mathematics of Computation of the American Mathematical Society
MCBEH	Monatliche Correspondenz zur Beforderung der Erd- und Himmels-kunde
MCLC	Molecular Crystals and Liquid Crystals
MCM	Mechanics of Composite Materials
MCME	Methods: A Companion to Methods in Enzymology
MCMS	Mechanics of Composite Materials & Structures
MComM	Mathematical and Computer Modelling
MComP	Methods in Computational Physics
MECAN	MECA Newsletter
MEE	Materials of Electronics Engineering
MEEP	Monographs on Environment, Earth and Planets
MEI	Mathematical Engineering Industry
MEPS	Marine Ecology Progress Series
MEVTV	MEVTV Newsletter
MEdRJ	Mathematics Education Research Journal
MEner	Moscow Energoizdat
MExP	Methods of Experimental Physics
MFiNM	Matematicheskaia Fizika i Nelineinaia Mekhanika
MGIMO	Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Otchet
MGM	Molecular Genetics and Metabolism
MGQG	Marine Geology &amp; Quaternary Geology
MGTVM	Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Mashinostroenie
MGTVP	Moskovskij Gosudarstvennyj Tekhnicheskij Universitet Vestnik Seriya Priborostroenie
MGUMN	Moskovskii Gosudarstvennyi Universitet Institut Mekhaniki Nauchnye Trudy
MGUkr	Akademiia Nauk Ukrainskoi SSR Morskie Gidrofizicheskie Issledovaniia
MGeo	Manuscr. Geod.
MGeoE	Materials and Geoenvironment
MGeol	Marine Geology
MHD	Magnetohydrodynamics
MHITR	Mitsubishi Heavy Industries Technical Review
MIEBA	Moscow Izdatel Energiia Biblioteka Avtomatike
MIEBR	Moscow Izdatel Energiia Biblioteka Radioelektronike
MIMPE	Modern Instrumentation and Measurements in Physics and Engineering
MINCV	Moscow Izdatel Nauka AN SSSR Chteniia imeni Vernadskogo
MINFI	Moscow Izdatel Nauka AN SSR Fizicheskii Institut Trudy
MINGI	Moscow Izdatel Nauka AN SSSR Geologicheskoi Institut Trudy
MINMI	Moscow Izdatel Nauka AN SSSR Matematicheskii Institut Trudy
MINTF	Moscow Izdatel Nauka Teoreticheskaia Fizika
MINVS	Moscow Izdatel Nauka Vychislitelnaia Seismologiia
MISST	Moscow Izdatel Sviaz Statisticheskaia Teoriia sviazi
MISTr	Matematicheskii Institut imeni Steklova Trudy
MIZNZ	Moscow Izdatel Znanie Novoe Zhizni Nauke Tekhnike Seriia Fizika
MIzLI	Moscow Izdatel Legkaia Industriia
MIzMU	Moscow Izdatel Moskovskogo Universiteta Pt
MIzMa	Moscow Izdatel Mashinostroenie
MIzMe	Moscow Izdatel Metallurgiia
MIzNe	Moscow Izdatel Nedra
MIzRS	Moscow Izdatel Radio Sviaz
MIzSR	Moscow Izdatel Sovetskoe Radio
MIzVS	Moscow Izdatel Vysshaia Shkola
MJPS	Moldavian Journal of the Physical Sciences
MKAtl	Astrophysics monographs University of Chicago Press
MLS&T	Machine Learning: Science and Technology
MLST	Marine Life Science & Technology
MLear	Machine Learning
MM	Metals and Materials
MMAAR	Annual Report of the Maria Mitchell Association
MMAS	Mathematical Methods in the Applied Sciences
MMBR	Microbiology and Molecular Biology Reviews
MME	Mechanics and Mechanical Engineering
MMFMP	Matematicheskie Metody i Fiziko Mekhanicheskie Polia
MMI	Metals and Materials International
MMNA	Mathematical Modelling Numerical Analysis
MMP	Materials and Manufacturing Processes
MMPhy	Masters of Modern Physics
MMS	Mathematics and Mechanics of Solids
MMTA	Metallurgical and Materials Transactions A
MMTB	Metallurgical and Materials Transactions B
MMTE	Metallurgical and Materials Transactions E
MMTET	Matematicheskoe Modelirovanie i Teoriia Elektricheskikh Tsepei
MNRAS	Monthly Notices of the Royal Astronomical Society
MNSL	Micro and Nano Systems Letters
MNSSA	Monthly Notes of the Astronomical Society of South Africa
MNSSJ	Monthly notes of the Astronomical Society of South Africa
MPAG	Mathematical Physics, Analysis and Geometry
MPARp	Max Planck Institut fur Astrophysik Report
